City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Hambantota,LK,79.74,broken clouds,6.1241,81.1185,Bungalow 63
7,Yilan,TW,77.0,overcast clouds,24.757,121.753,Dar Chen Hotel
10,Kapaa,US,80.6,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
13,Sorong,ID,79.95,light rain,-0.8833,131.25,The Waigo Hotel
14,Rikitea,PF,78.62,clear sky,-23.1203,-134.9692,Pension Maro'i
25,Hilo,US,78.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
26,Atuona,PF,80.8,broken clouds,-9.8,-139.0333,Villa Enata
28,Avarua,CK,84.2,broken clouds,-21.2078,-159.775,Paradise Inn
29,Bengkulu,ID,75.04,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
37,Pyapon,MM,75.96,broken clouds,16.2833,95.6833,Aung Naing Thu Motel
39,Gamba,GA,77.56,moderate rain,-2.65,10.0,
40,Kahului,US,82.4,few clouds,20.8947,-156.47,Maui Seaside Hotel
41,Carnarvon,AU,82.4,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
43,Kismayo,SO,79.77,clear sky,-0.3582,42.5454,Agan-Hotel
45,Tchollire,CM,76.21,scattered clouds,8.4022,14.1698,"Auberge ""l'amicale"""
46,Parit Buntar,MY,82.4,few clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
49,Grand Gaube,MU,77.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
50,Yeppoon,AU,78.8,few clouds,-23.1333,150.7333,Villa Mar Colina
53,Bodden Town,KY,82.4,few clouds,19.2833,-81.25,Will T Place
56,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
61,Vaini,TO,86.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
62,Sao Joao Da Barra,BR,75.9,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
67,Puerto Ayora,EC,78.01,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
72,San Cristobal,VE,77.0,broken clouds,7.7669,-72.225,Posada Villaven C.A.
75,Gatesville,US,78.8,clear sky,31.4352,-97.7439,Ramada by Wyndham Gatesville N. Fort Hood
79,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
80,Gizo,SB,83.86,light rain,-8.103,156.8419,Imagination Island
83,Porto Novo,BJ,84.2,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
88,Tadine,NC,81.03,overcast clouds,-21.55,167.8833,
92,Laguna,US,79.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
105,Alofi,NU,86.0,broken clouds,-19.0595,-169.9187,Taloa Heights
107,Wajid,SO,76.84,clear sky,3.8093,43.2471,xamdihotelresturant114
109,Mahibadhoo,MV,83.35,overcast clouds,3.7833,72.9667,Omadhoo Inn
114,Faanui,PF,81.81,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
121,Karratha,AU,87.69,clear sky,-20.7377,116.8463,ibis Styles Karratha
128,Haapiti,PF,87.8,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
133,Palauig,PH,83.01,overcast clouds,15.435,119.9045,Myhousebythesea
134,Isangel,VU,80.6,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
143,Taoudenni,ML,80.89,few clouds,22.6783,-3.9836,
146,Oranjestad,AW,80.6,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
147,Guapo,BR,78.8,clear sky,-16.8306,-49.5319,Lar de idosos de Guapó
151,Butaritari,KI,82.36,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
152,Kilindoni,TZ,80.47,light rain,-7.9139,39.6668,Bustani B&B
157,Marawi,PH,79.0,overcast clouds,7.9986,124.2928,Derogongan Residence
161,Malpe,IN,78.8,few clouds,13.35,74.7167,Hotel Sri Krishna Residency
164,Vanimo,PG,83.23,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
170,Vila Velha,BR,80.6,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
171,Axim,GH,79.43,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
175,Victoria,HK,79.0,broken clouds,22.2855,114.1577,Mini Hotel Central
176,San Jose Iturbide,MX,84.99,scattered clouds,21.0,-100.3833,Los Arcos
181,Paka,MY,75.2,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
183,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
184,Sola,VU,82.71,broken clouds,-13.8833,167.55,Leumerus Bungalows
185,Caravelas,BR,78.26,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
191,Saint-Pierre,RE,78.8,moderate rain,-21.3393,55.4781,Lindsey Hôtel
193,Guaratinga,BR,78.8,clear sky,-16.5667,-39.5667,Hotel Caraíva
196,Eydhafushi,MV,83.07,overcast clouds,5.1033,73.0708,Soneva Fushi
197,Hithadhoo,MV,84.02,overcast clouds,-0.6,73.0833,Scoop Guest House
199,Kimbe,PG,83.97,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
201,Noumea,NC,82.99,few clouds,-22.2763,166.4572,Hôtel Le Lagon
202,Tomatlan,MX,85.8,clear sky,19.9333,-105.25,Norma franco
204,Trincomalee,LK,78.21,overcast clouds,8.5711,81.2335,Welcombe Hotel
212,Shirgaon,IN,76.89,broken clouds,19.7,72.7,Samarth Krupa Agro Tourism Farm
214,Alugan,PH,80.04,overcast clouds,12.2188,125.4808,JM Lodge
222,Cabo San Lucas,MX,84.2,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
224,Wanning,CN,77.07,few clouds,18.8003,110.3967,Paradise Hotel
