City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,New Norfolk,AU,-42.7826,147.0587,64.0,62,69,1.99,broken clouds,2021-04-04 23:15:11
1,El Retorno,CO,2.3302,-72.6276,75.15,92,66,2.82,broken clouds,2021-04-04 23:15:12
2,Dandong,CN,40.1292,124.3947,45.28,39,4,2.17,clear sky,2021-04-04 23:15:12
3,Hamilton,US,39.1834,-84.5333,73.4,35,1,5.75,clear sky,2021-04-04 23:15:13
4,Kabanjahe,ID,3.1001,98.4908,77.0,100,40,3.44,haze,2021-04-04 23:15:13
5,Cabo San Lucas,MX,22.8909,-109.9124,91.4,17,1,23.02,clear sky,2021-04-04 23:15:14
6,Kruisfontein,ZA,-34.0033,24.7314,68.0,79,98,1.01,overcast clouds,2021-04-04 23:15:14
7,Arraial Do Cabo,BR,-22.9661,-42.0278,75.67,75,74,13.15,broken clouds,2021-04-04 23:15:15
8,Nanortalik,GL,60.1432,-45.2371,34.29,87,18,7.47,few clouds,2021-04-04 23:15:16
9,Roswell,US,34.0232,-84.3616,70.0,23,1,5.75,clear sky,2021-04-04 23:10:35
10,Albany,US,42.6001,-73.9662,57.99,32,40,17.27,scattered clouds,2021-04-04 23:11:35
11,Jamestown,US,42.097,-79.2353,50.0,40,1,8.05,clear sky,2021-04-04 23:11:39
12,Castro,BR,-24.7911,-50.0119,58.68,95,33,6.87,scattered clouds,2021-04-04 23:15:17
13,Takoradi,GH,4.8845,-1.7554,79.57,87,43,6.8,scattered clouds,2021-04-04 23:15:17
14,Punta Arenas,CL,-53.15,-70.9167,42.8,75,0,20.71,clear sky,2021-04-04 23:15:17
15,Aswan,EG,24.0934,32.907,67.82,16,0,7.0,clear sky,2021-04-04 23:15:18
16,Sitka,US,57.0531,-135.33,39.2,93,90,10.36,light rain,2021-04-04 23:15:18
17,Ippy,CF,6.2679,21.2247,76.24,28,8,2.39,clear sky,2021-04-04 23:15:18
